EmployeeID,Name,Department,Gender,JobRole,Education,Age,Salary,Bonus,Attrition,TotalCompensation
1001,Emp_1,Sales,Male,Manager,High School,39,39239.0,6909,No,46148.0
1002,Emp_2,Marketing,Male,Consultant,Masters,53,30416.0,17150,No,47566.0
1003,Emp_3,It,Female,Executive,High School,24,23412.0,28602,No,52014.0
1004,Emp_4,Marketing,Female,Engineer,Masters,23,101976.0,5080,No,107056.0
1005,Emp_5,Marketing,Male,Executive,Phd,54,44406.0,7083,No,51489.0
1006,Emp_6,Finance,Female,Consultant,Phd,40,21875.0,18378,No,40253.0
1007,Emp_7,It,Male,Manager,Masters,38,57066.0,20217,No,77283.0
1008,Emp_8,It,Male,Analyst,Bachelors,54,25752.0,23074,No,48826.0
1009,Emp_9,It,Male,Consultant,High School,33,106753.0,22140,No,128893.0
1010,Emp_10,Marketing,Male,Manager,Phd,24,98025.0,7670,Yes,105695.0
1011,Emp_11,Sales,Female,Engineer,Bachelors,47,21353.0,8751,No,30104.0
1012,Emp_12,It,Male,Executive,High School,56,46986.0,16744,No,63730.0
1013,Emp_13,Operations,Female,Executive,Phd,29,106907.0,10261,No,117168.0
1014,Emp_14,Marketing,Female,Executive,Phd,57,34691.0,19691,No,54382.0
1015,Emp_15,Finance,Female,Engineer,Masters,28,89847.0,11852,No,101699.0
1016,Emp_16,Sales,Female,Manager,High School,57,68075.0,6494,No,74569.0
1017,Emp_17,Operations,Male,Engineer,Bachelors,37,30794.0,27124,No,57918.0
1018,Emp_18,Operations,Female,Executive,Bachelors,45,88470.0,29439,No,117909.0
1019,Emp_19,Finance,Male,Consultant,Bachelors,22,36406.0,22285,No,58691.0
1020,Emp_20,Sales,Female,Analyst,High School,46,95930.0,5672,Yes,101602.0
1021,Emp_21,Marketing,Female,Engineer,Bachelors,31,46872.0,13630,,60502.0
1022,Emp_22,Hr,Male,Engineer,Bachelors,37,61708.0,15268,,76976.0
1023,Emp_23,Sales,Male,Manager,Bachelors,37,40800.0,5444,No,46244.0
